      23.400      17.528       0.000       0.167
      23.500      17.812       0.000       0.165
      23.600      18.097       0.000       0.164
      23.700      18.384       0.000       0.163
      23.800      18.673       0.000       0.161
      23.900      18.963       0.000       0.160
      24.000      19.255       0.000       0.159
      24.100      19.549       0.000       0.158
      24.200      19.844       0.000       0.157
      24.300      20.141       0.000       0.156
      24.400      20.439       0.000       0.155
      24.500      20.739       0.000       0.153
      24.600      21.040       0.000       0.152
      24.700      21.343       0.000       0.151
      24.800      21.647       0.000       0.150
      24.900      21.953       0.000       0.149
      25.000      22.261       0.000       0.148
      25.100      22.570       0.000       0.147
      25.200      22.880       0.000       0.146
      25.300      23.192       0.000       0.145
      25.400      23.505       0.000       0.144
      25.500      23.820       0.000       0.143
      25.600      24.136       0.000       0.142
      25.700      24.453       0.000       0.142
      25.800      24.772       0.000       0.141
      25.900      25.093       0.000       0.140
      26.000      25.414       0.000       0.139
      26.100      25.738       0.000       0.138
      26.200      26.062       0.000       0.137
      26.300      26.388       0.000       0.136
      26.400      26.715       0.000       0.136
      26.500      27.044       0.000       0.135
      26.600      27.374       0.000       0.134
      26.700      27.705       0.000       0.133
      26.800      28.038       0.000       0.132
      26.900      28.372       0.000       0.132
      27.000      28.707       0.000       0.131
      27.100      29.044       0.000       0.130
      27.200      29.382       0.000       0.129
      27.300      29.721       0.000       0.129
      27.400      30.061       0.000       0.128
      27.500      30.403       0.000       0.127
      27.600      30.746       0.000       0.126
      27.700      31.090       0.000       0.126
      27.800      31.436       0.000       0.125
      27.900      31.783       0.000       0.124
      28.000      32.131       0.000       0.124
      28.100      32.480       0.000       0.123
      28.200      32.831       0.000       0.122
      28.300      33.182       0.000       0.122
      28.400      33.535       0.000       0.121
      28.500      33.890       0.000       0.121
      28.600      34.245       0.000       0.120
      28.700      34.601       0.000       0.119
      28.800      34.959       0.000       0.119
      28.900      35.318       0.000       0.118
      29.000      35.678       0.000       0.118
      29.100      36.040       0.000       0.117
      29.200      36.402       0.000       0.116
      29.300      36.766       0.000       0.116
      29.400      37.131       0.000       0.115
      29.500      37.497       0.000       0.115
      29.600      37.864       0.000       0.114
      29.700      38.232       0.000       0.114
      29.800      38.601       0.000       0.113
      29.900      38.972       0.000       0.113
      30.000      39.343       0.000       0.112
      30.100      39.716       0.000       0.112
      30.200      40.090       0.000       0.111
      30.300      40.465       0.000       0.110
      30.400      40.841       0.000       0.110
      30.500      41.218       0.000       0.109
      30.600      41.597       0.000       0.109
      30.700      41.976       0.000       0.108
      30.800      42.357       0.000       0.108
      30.900      42.738       0.000       0.108
      31.000      43.121       0.000       0.107
      31.100      43.504       0.000       0.107
      31.200      43.889       0.000       0.106
      31.300      44.275       0.000       0.106
      31.400      44.662       0.000       0.105
      31.500      45.050       0.000       0.105
      31.600      45.439       0.000       0.104
      31.700      45.829       0.000       0.104
      31.800      46.220       0.000       0.103
      31.900      46.612       0.000       0.103
      32.000      47.005       0.000       0.103
      32.100      47.399       0.000       0.102
      32.200      47.794       0.000       0.102
      32.300      48.191       0.000       0.101
      32.400      48.588       0.000       0.101
      32.500      48.986       0.000       0.101
      32.600      49.385       0.000       0.100
      32.700      49.785       0.000       0.100
      32.800      50.187       0.000       0.099
      32.900      50.589       0.000       0.099
      33.000      50.992       0.000       0.099
      33.100      51.396       0.000       0.098
      33.200      51.801       0.000       0.098
      33.300      52.207       0.000       0.097
      33.400      52.614       0.000       0.097
      33.500      53.023       0.000       0.097
      33.600      53.432       0.000       0.096
      33.700      53.842       0.000       0.096
      33.800      54.253       0.000       0.096
      33.900      54.664       0.000       0.095
      34.000      55.077       0.000       0.095
      34.100      55.491       0.000       0.094
      34.200      55.906       0.000       0.094
      34.300      56.322       0.000       0.094
      34.400      56.738       0.000       0.093
      34.500      57.156       0.000       0.093
      34.600      57.574       0.000       0.093
      34.700      57.994       0.000       0.092
      34.800      58.414       0.000       0.092
      34.900      58.835       0.000       0.092
      35.000      59.258       0.000       0.091
      35.100      59.681       0.000       0.091
      35.200      60.105       0.000       0.091
      35.300      60.530       0.000       0.091
      35.400      60.956       0.000       0.090
      35.500      61.382       0.000       0.090
      35.600      61.810       0.000       0.090
      35.700      62.239       0.000       0.089
      35.800      62.668       0.000       0.089
      35.900      63.098       0.000       0.089
      36.000      63.529       0.000       0.088
      36.100      63.962       0.000       0.088
      36.200      64.395       0.000       0.088
      36.300      64.828       0.000       0.087
      36.400      65.263       0.000       0.087
      36.500      65.699       0.000       0.087
      36.600      66.135       0.000       0.087
      36.700      66.573       0.000       0.086
      36.800      67.011       0.000       0.086
      36.900      67.450       0.000       0.086
      37.000      67.890       0.000       0.086
      37.100      68.330       0.000       0.085
      37.200      68.772       0.000       0.085
      37.300      69.215       0.000       0.085
      37.400      69.658       0.000       0.084
      37.500      70.102       0.000       0.084
      37.600      70.547       0.000       0.084
